RIL;DTF_LD;CLN_LD;RLN_LD;TLN_LD;DTF_SD;CLN_SD;RLN_SD;TLN_SD;AssayID;44606753;44607520;44606224;44607217;44606517;44607429;44606240;44607315;44606468;21607648;44607652;21607761;44606134;44606256;44606476;21607640;44607660;21607615;21607242;44607693;21607165;44607873;21607590;44606305;21607548;44608036;44607963;21607540;21607234;44606411;44606883;21607361;44607299;21607065;44606973;21607336;44607152;44607611;21607411;21607057;44607685;21606980;21606928;21607463;44607421;44606232;44607372;44607380;44608044;21607700;21606988;44606704;21607386;21607030;44608060;44606541;44606419;44607470;44606444;44606322;44607930;21607556;21607038;44606142;21607005;44606598;21607259;44607898;44607063;44607627;44607727;44607479;21607013;21607488;44606664;44607914;44606590;44606940;44606802;44607824;21607157;44606810;21607656;44607619;44606769;21607209;44606533;21607479;21606963;44606607;44607987;21607175;44606436;44606965;21607573;44607718;44606908;44606721;44606208;44607120;21607496;44607578;44607735;44606387;44607389;21607683;44606900;44606843;44606330;21607369;44607397;44606395;44606427;44607348;44608003;21607250;44607340;44606102;44607784;44607014;44608028;44607849;21607623;44606623;21607327;44606493;44606680;44607955;44607291;21607606;21607192;21607021;44606916;21607200;44606859;21607750;44607405;21607513;44606118;21607733;44607545;44607635;44607841;21607394;21607140;21607598;21607184;44607079;44607751;44606289;44606688;44607979;44606574;21607529;44607234;44607144;21607402;44607857;44606159;44607242;44606167;44607209;21607148;44607668;44606338;44607643;21606996;21607769;44607095;44606452;44606346;44606501;44607676;44606403;44607767;44606460;44606745;44607800;44607995;44606509;44607413
93;18.5;3;11.75;14.75;59.42;11.67;45.92;57.58;;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;H;H;-;H;H;H;H;H;H;-;H;H;H;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;A;-;A;A;A;A;A;A;A;A;A;H;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;B;-;B;B;-;-;H;H;B;B;B;B;B;B;-;B;B;B;B;H;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;H;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;B;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;A;B;B;B
94;16.92;3.33;12;15.33;54.58;14.75;52.58;67.33;;B;B;B;B;B;B;B;-;B;B;B;B;A;B;B;B;B;B;B;B;B;B;B;-;B;-;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;-;H;H;H;H;H;-;H;H;B;B;B;B;B;B;H;H;H;-;H;H;H;H;H;-;H;H;H;H;H;H;H;H;H;H;-;-;H;H;H;H;H;B;-;B;B;H;H;-;B;B;B;-;H;H;-;H;H;H;H;-;H;H;H;H;A;H;-;B;H;B;B;H;A;H;H;H;H;A;H;H;H;H;H;H;H;H;A;A;-;A;H;H;-;H;H;H;H;H;H;H;-;A;A;A;A;A;A;A;A;H;H;H;A;A;A;A;A;A;A;A;-;B;B;B;B;B;B;B;B;B;B;B;B;B;H;H;H;-;H
95;21.67;4.5;17.08;21.58;64.6;15.1;58.4;73.5;;B;B;B;B;B;B;B;-;B;B;B;B;B;-;B;A;A;A;A;A;A;A;A;A;A;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;A;A;A;A;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;B;A;A;A;A;A;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;H;A;A;A;A;A;A;A;H;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;-;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A
96;24.33;5.36;20.36;25.73;73.67;14.67;68.42;83.08;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A
97;17.92;2.82;12.18;15;53.92;8.67;45.92;54.58;;B;B;B;B;B;B;B;B;B;B;B;B;B;-;-;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;-;A;A;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;A;A;A;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;H;A;A;B;B;B;B;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;-;-;B;B;B;B;B;B;B;B;B;B;H;H;H;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A
98;19.67;3.5;14.5;18;55.83;12.33;52.92;65.25;;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;H;H;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;-;A;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;H;H;H;H;H;B;B;B;B;B;B;B;B;B;B;B;B
99;29.36;5.82;26.36;32.18;77.33;12.5;63.67;76.17;;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;B;B;B;B;B;B;A;A;A;A;B;B;B;B;H;B;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;A;A;A;H;H;H;A;B;B;B;B;B;B;B;A;A;A;B;A;B;B;B;B;B;B;B;A;A;B;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A
100;23;4.67;19.42;24.08;59.5;11.33;54;65.33;;A;A;A;A;H;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;A;A;B;B;B;B;B;B;B;-;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
101;15.67;2.67;8.92;11.58;51;9.42;45.33;54.75;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;A;A;A;B;A;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;H;H;H;H;H;-;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
102;26.42;7.25;25.5;32.75;98;18;76;94;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;H;H;B;B;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;H;H;H;H;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;A;A;A;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
103;18.08;2.58;11.17;13.75;66.5;10.33;59.17;69.5;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;-;B;A;A;A;A;A;A;A;A;A;A;A;B;B;A;A;A;B;A;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A;-;A;A;A;A;A;A;A;A;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B
104;21.08;3.58;14;17.58;66.33;17.17;58.83;76;;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A
105;18.17;3.25;11.25;14.5;62.67;10.58;54.33;64.92;;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;A;A;A;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;B;A;A;A;A;A;A;A;A;A;A;H;A;A;B;B;B;B;B;B;A;A;-;-;A;B;B;B;B;B;A;A;A;A;A;A;-;A;A;A;A;-;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;A;A;A;-;A;A;A;A;A;A;B;B;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A
106;20.75;5;15.33;20.33;68.33;14.67;66.83;81.5;;B;B;-;B;-;B;B;B;B;-;B;B;H;-;B;A;A;H;-;H;A;H;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;A;-;H;A;A;-;A;H;A;A;H;B;H;B;B;B;B;B;-;H;B;-;B;B;B;B;B;B;B;B;A;A;H;-;A;-;-;A;A;A;A;A;-;B;B;B;B;B;A;A;A;A;A;A;A;A;A;H;A;B;B;B;B;B;B;B;B;B;B;-;-;B;-;B;B;B;A;A;A;-;A;A;A;A;A;A;A;-;A;A;A;A;H;B;B;B;H;B;B;A;-;A;-;H;-;B;B;-;B;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;B;H;H;-;H;H
107;22.67;4.17;19.67;23.83;61.17;9.42;49.58;59;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;B;B;B;B;B;B;B;H;B;A;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;-;B;B;B;B;B;B;B;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;-;B;A;B;B;B;B;-;B;B;A;A;A;A;A;A;A;A;A;B;B;B;A;A;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;-;B;B;B;B;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B
108;22.83;4.5;18.08;22.58;71.33;12.17;61.58;73.75;;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;A;A;A;A;-;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;B;B;B;B;H;A;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;B;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;H;A;A;A;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;B;B;B;B;B;B;B;B;-;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;B
109;22.83;3.92;18.08;22;49.58;7.33;41.25;48.58;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;-;B;B;B;B;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;-;A;A;A;A;A;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;A;A;A;A;A;-;B;B;B;H;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;A;B
110;16.08;2.92;9.83;12.75;53.58;12.25;53.75;66;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;H;H;A;A;B;B;B;B;B;B;B;B;B;H;H;H;B;A;A;-;A;A;A;A;A;A;A;A;A;A;H;A;H;H;H;H;H;H;H;H;H;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;A
111;16.67;2.92;10.42;13.33;64.67;17.58;62.42;80;;B;B;B;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;B;B;B;B;B;B;B;B;B;A;A;B;B;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;H;A;A;A;A;A;A;A;A;A;A;A;H;H;A;A;A;B;A;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B
112;24;6.17;21.75;27.92;59.17;14.58;54.75;69.33;;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;A;A;A;A;A;-;A;A;-;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;H;A;H;H;A;A;A;A;A;H;A;A;B;B;B;B;-;B;B;B;B;H;-;-;H;H;H;H;H;H;A;A;A;A;A;A;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;B;B;B;B;A;A;-;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;B
113;23.25;5.83;21.25;27.08;60.67;12.83;57.83;70.67;;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;A;B;B;A;A;A;A;A;H;A;-;B;B;B;B;-;B;B;B;B;B;-;B;B;B;B;B;B;-;A;A;A;A;H;A;H;H;H;H;H;H;H;A;-;A;A;A;A;A;A;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;B;B;B;B;A;A;-;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;B
114;18.5;4.25;12.33;16.58;65.42;14.83;57.42;72.25;;A;A;A;A;A;-;-;A;A;-;A;A;A;B;-;B;B;B;B;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;-;B;-;B;B;A;A;A;B;B;B;B;B;B;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;-;B;B;H;B;B;H;B;H;B;B;B;H;A;A;B;B;H;-;B;B;B;B;B;B;B;-;B;B;B;-;A;A;A;A;A;-;B;B;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;A;A;A;A;A;A;B;-;B;B;-;B;A;A;A;A;A;A;-;A;A;A;A;B
115;17.33;3.5;11.83;15.33;52.25;9.25;40.17;49.42;;B;B;B;B;-;B;B;B;B;B;B;B;H;B;B;-;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;-;-;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;-;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;-;B;B;B;A;A
116;22.27;3.64;16.82;20.45;72.33;11.08;70;81.08;;H;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;H;H;H;H;H;H;H;H;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;H;H;H;H;H;H;H;H;H;H;H;A;H;H;A;A;A;A;H;H;A;H;B;B;B;B;B;B;B;B;B;B;B;H;H;B;H;H;A;A;A;A;A;A;A;A;H;H;H;H;H;H;H;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;H;B;B;B;H;H;H;H;H;H;-;A;A;A;A;H;H;H;H;H;A;A;A;A;A;H;A;A;H;H;H;H;H;H;B;H;H;H;B;H;B;B;B;B;H;H;B;B;H;H;H;A;A;A;A;A;A;A;A;A;H;H;H;H;H
117;19.17;3.17;12.92;16.08;67.17;13.58;58.5;72.08;;-;B;B;B;H;B;-;H;-;-;B;-;B;H;-;H;B;B;B;B;B;A;-;A;A;H;-;A;H;A;A;-;A;A;-;A;A;A;A;A;A;A;-;-;B;-;-;B;H;-;B;B;-;B;B;B;H;-;B;H;B;B;-;A;A;A;-;H;-;-;A;-;A;-;-;A;H;-;A;H;-;A;A;A;A;A;A;B;A;-;B;A;A;A;A;A;A;A;-;A;H;H;-;-;B;B;H;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;B;B;B;B;H;B;B;-;B;B;B;-;-;-;H;B;B;H;H;B;B;B;-;-;H;B;B;-;B;H;B;B;H;A;-;A;-;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;-;A;H;H;A;A
118;20.5;3.67;14.42;18.08;71.67;14.58;63.5;78.08;;B;B;B;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;-;B;B;B;H;H;H;H;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A;A;A;A;A;A;A;A;A;A;H;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A
119;18.73;3.27;13.73;17;71.33;14.08;65.75;79.83;;A;-;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A;A;A;A;A;A;A;A;A;A
120;20.25;4.92;15.42;20.33;57.67;13;51.17;64.17;;B;B;B;B;B;B;B;H;B;B;B;B;B;-;B;B;B;B;B;B;B;H;H;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;-;B;B;B;A;A;A;A;A;A;A;A;A;A;B;B;B;B;H;H;-;H;A;A;A;A;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;-;B;A;A;A;A;A;A;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;A;A;B;H;B;B;A;-;A;A;A;A;H;H;A;A;A;A;A;A;A;A;A;A
121;17.58;2.75;9.42;12.17;48.33;6.58;34.42;41;;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;B;-;B;B;B;B;B;-;B;B;B;B;A;B;B;B;B;B;B;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;H;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;H;H;A;A;A;A;B;B;B;B;B;H;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
122;22.42;5.08;18.83;23.92;56.67;11.42;46.25;57.67;;H;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;B;A;A;A;B;A;-;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;B;B;B;B;B
123;18.08;3.08;11.5;14.58;63.5;13;55.75;68.75;;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;-;H;H;H;H;H;A;A;B;A;A;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;A;H;H;H;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
124;24.08;4.75;19.5;24.25;75.25;8.73;65.09;73.82;;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;B;B;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;B;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;A;A;A;B;A;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;B
125;18.25;2.42;11.58;14;52;5.92;37.17;43.08;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A;H;H;H;H;H;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;A;H;H;H;A;A;A;A;-;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A
